title,Production company,Country,Language,Running time,Budget,Box office,Release date,imdb,metascore,rotten_tomatoes,Directed by,Produced by,Based on,Starring,Music by,Distributed by,Cinematography,Edited by,Screenplay by
Jagga Jasoos,"['Walt Disney Pictures India', 'Picture Shuru Entertainment', 'Ishana Movies']",India,Hindi,162,,,14/07/2017,,,,Anurag Basu,"['Siddharth Roy Kapur', 'Anurag Basu', 'Ranbir Kapoor']",,"['Ranbir Kapoor', 'Katrina Kaif', 'Saswata Chatterjee', 'Saurabh Shukla', 'Sayani Gupta', 'Ivan Sylvester Rodrigues']",Pritam,UTV Motion Pictures,Ravi Varman,Amitabh Shukla,"['Anurag Basu', 'Dialogues in Rhyme:', 'Amitabh Bhattacharya', 'Anurag Basu', 'Devesh Kapoor', 'Samrat Chakraborty', 'Debatma Mandal', 'Dialogues:', 'Samrat Chakraborty']"
Coco,"['Walt Disney Pictures', 'Pixar Animation Studios']",United States,English,105,175000000,807800000,20/10/2017,8.4,81,97%,Lee Unkrich,Darla K. Anderson,,"['Anthony Gonzalez', 'Gael GarcÃ­a Bernal', 'Benjamin Bratt', 'Alanna Ubach', 'RenÃ©e Victor', 'Ana Ofelia MurguÃ­a', 'Edward James Olmos']",Michael Giacchino,"['Walt Disney Studios', 'Motion Pictures']","['Matt Aspbury', 'Danielle Feinberg']",Steve Bloom,"['Adrian Molina', 'Matthew Aldrich']"
A Wrinkle in Time,,United States,English,109,100,133400000,26/02/2018,4.2,53,42%,Ava DuVernay,"['Jim Whitaker', 'Catherine Hand']","['A Wrinkle in Time', 'by', ""Madeleine L'Engle""]","['Oprah Winfrey', 'Reese Witherspoon', 'Mindy Kaling', 'Levi Miller', 'Storm Reid', 'Gugu Mbatha-Raw', 'Michael PeÃ±a', 'Zach Galifianakis', 'Chris Pine']",Ramin Djawadi,"['Walt Disney Studios', 'Motion Pictures']",Tobias A. Schliessler,Spencer Averick,"['Jennifer Lee', 'Jeff Stockwell']"
Incredibles 2,,United States,English,118,200000000,1243000000,05/06/2018,7.6,80,93%,Brad Bird,"['John Walker', 'Nicole Paradis Grindle']",,"['Craig T. Nelson', 'Holly Hunter', 'Sarah Vowell', 'Huckleberry Milner', 'Samuel L. Jackson']",Michael Giacchino,"['Walt Disney Studios', 'Motion Pictures']","['Mahyar Abousaeedi', 'Erik Smitt']",Stephen Schaffer,
Christopher Robin,"['Walt Disney Pictures', '2DUXÂ²']",United States,English,104,70000000,197700000,30/07/2018,7.3,60,,Marc Forster,"['Brigham Taylor', 'Kristin Burr']","[""Disney's Winnie the Pooh"", 'Winnie-the-Pooh books by A. A. Milne E. H. Shepard']","['Ewan McGregor', 'Hayley Atwell', 'Jim Cummings', 'Brad Garrett']","['Geoff Zanelli', 'Jon Brion']","['Walt Disney Studios', 'Motion Pictures']",Matthias Koenigswieser,Matt ChessÃ©,"['Alex Ross Perry', 'Tom McCarthy', 'Allison Schroeder']"
The Nutcracker and the Four Realms,"['Walt Disney Pictures', 'The Mark Gordon Company']",United States,English,99,120,174000000,29/10/2018,5.5,39,32%,"['Lasse HallstrÃ¶m', 'Joe Johnston']","['Mark Gordon', 'Larry Franco']","['"" The Nutcracker and the Mouse King "" by E. T. A. Hoffmann', 'The Nutcracker by Marius Petipa']","['Keira Knightley', 'Mackenzie Foy', 'Jayden Fowora-Knight', 'Eugenio Derbez', 'Matthew Macfadyen', 'Richard E. Grant', 'Misty Copeland', 'Helen Mirren', 'Morgan Freeman']",James Newton Howard,Walt Disney Studios Motion Pictures,Linus Sandgren,Stuart Levy,
Ralph Breaks the Internet,,United States,English,112,175000000,529300000,05/11/2018,7.1,71,88%,"['Rich Moore', 'Phil Johnston']",Clark Spencer,,"['John C. Reilly', 'Sarah Silverman', 'Gal Gadot', 'Taraji P. Henson', 'Jack McBrayer', 'Jane Lynch', 'Alan Tudyk', 'Alfred Molina', ""Ed O'Neill""]",Henry Jackman,Walt Disney Studios Motion Pictures,"['Nathan Detroit Warner (layout)', 'Brian Leach (lighting)']",Jeremy Milton,"['Phil Johnston', 'Pamela Ribon']"
Mary Poppins Returns,"['Walt Disney Pictures', 'Lucamar Productions', 'Marc Platt Productions']",United States,English,131,130000000,349500000,29/11/2018,6.7,66,79%,Rob Marshall,"['Rob Marshall', 'John DeLuca', 'Marc Platt']","['Mary Poppins', 'by', 'P. L. Travers']","['Emily Blunt', 'Lin-Manuel Miranda', 'Ben Whishaw', 'Emily Mortimer', 'Julie Walters', 'Dick Van Dyke', 'Angela Lansbury', 'Colin Firth', 'Meryl Streep']",Marc Shaiman,"['Walt Disney Studios', 'Motion Pictures']",Dion Beebe,Wyatt Smith,David Magee
Dumbo,"['Walt Disney Pictures', 'Tim Burton Productions', 'Infinite Detective Productions', 'Secret Machine Entertainment']",United States,English,112,170000000,353300000,11/03/2019,7.2,96,98%,Tim Burton,"['Justin Springer', 'Ehren Kruger', 'Katterli Frauenfelder', 'Derek Frey']","[""Disney 's Dumbo by Otto Englander Joe Grant Dick Huemer"", 'Otto Englander', 'Joe Grant', 'Dick Huemer', 'Dumbo, the Flying Elephant by Helen Aberson Harold Pearl', 'Helen Aberson', 'Harold Pearl']","['Colin Farrell', 'Michael Keaton', 'Danny DeVito', 'Eva Green', 'Alan Arkin']",Danny Elfman,"['Walt Disney Studios', 'Motion Pictures']",Ben Davis,Chris Lebenzon,Ehren Kruger
Penguins,"['Disneynature', 'Silverback Films']",United States,English,76,,7.7,17/04/2019,7,69,92%,"['Alastair Fothergill', 'Jeff Wilson']","['Alastair Fothergill', 'Keith Scholey', 'Roy Conli', 'Jeff Wilson']",,,Harry Gregson-Williams,Walt Disney Studios Motion Pictures,,Andy Netley,
Aladdin,"['Walt Disney Pictures', 'Rideback', 'Marc Platt Productions']",United States,English,128,183000000,,08/05/2019,8,86,95%,Guy Ritchie,"['Dan Lin', 'Jonathan Eirich']","[""Disney 's Aladdin by Ron Clements John Musker Ted Elliott Terry Rossio"", 'Ron Clements', 'John Musker', 'Ted Elliott', 'Terry Rossio', 'Aladdin and the Magic Lamp from One Thousand and One Nights']","['Will Smith', 'Mena Massoud', 'Naomi Scott', 'Marwan Kenzari', 'Navid Negahban', 'Nasim Pedrad', 'Billy Magnussen']",Alan Menken,"['Walt Disney Studios', 'Motion Pictures']",Alan Stewart,James Herbert,"['John August', 'Guy Ritchie']"
Toy Story 4,,United States,English,100,200000000,1073000000,11/06/2019,7.8,84,97%,Josh Cooley,"['Mark Nielsen', 'Jonas Rivera']",,"['Tom Hanks', 'Tim Allen', 'Annie Potts', 'Tony Hale', 'Keegan-Michael Key', 'Jordan Peele', 'Madeleine McGraw', 'Christina Hendricks', 'Keanu Reeves', 'Ally Maki', 'Jay Hernandez', 'Lori Alan', 'Joan Cusack']",Randy Newman,"['Walt Disney Studios', 'Motion Pictures']","['Patrick Lin', 'Jean-Claude Kalache']",Axel Geddes,"['Andrew Stanton', 'Stephany Folsom']"
The Lion King,"['Walt Disney Pictures', 'Fairview Entertainment']",United States,English,118,250,1657000000,09/07/2019,8.5,88,93%,Jon Favreau,"['Jon Favreau', 'Jeffrey Silver', 'Karen Gilchrist']","[""Disney 's The Lion King by Irene Mecchi Jonathan Roberts Linda Woolverton""]","['Donald Glover', 'Seth Rogen', 'Chiwetel Ejiofor', 'Alfre Woodard', 'Billy Eichner', 'John Kani', 'John Oliver', 'BeyoncÃ© Knowles-Carter', 'James Earl Jones']",Hans Zimmer,"['Walt Disney Studios', 'Motion Pictures']",Caleb Deschanel,"['Mark Livolsi', 'Adam Gerstel']",Jeff Nathanson
Maleficent: Mistress of Evil,"['Walt Disney Pictures', 'Roth/Kirschenbaum Films']",United States,English,119,185000000,492700000,18/10/2019,6.6,43,39%,Joachim RÃ¸nning,"['Joe Roth', 'Angelina Jolie', 'Duncan Henderson']","[""Disney's Sleeping Beauty"", 'La Belle au bois dormant by Charles Perrault']","['Angelina Jolie', 'Elle Fanning', 'Chiwetel Ejiofor', 'Sam Riley', 'Ed Skrein', 'Imelda Staunton', 'Juno Temple', 'Lesley Manville', 'Michelle Pfeiffer']",Geoff Zanelli,"['Walt Disney Studios', 'Motion Pictures']",Henry Braham,"['Laura Jennings', 'Craig Wood']",
Lady and the Tramp,"['Walt Disney Pictures', 'Taylor Made']",United States,English,104,160000000,,12/11/2019,7.3,78,93%,Charlie Bean,Brigham Taylor,"[""Disney 's Lady and the Tramp by Erdman Penner Joe Rinaldi Ralph Wright Don DaGradi"", 'Erdman Penner', 'Joe Rinaldi', 'Ralph Wright', 'Don DaGradi', 'Happy Dan, the Cynical Dog by Ward Greene']","['Tessa Thompson', 'Justin Theroux', 'Kiersey Clemons', 'Thomas Mann', 'Janelle MonÃ¡e', 'F. Murray Abraham', 'Yvette Nicole Brown', 'Adrian Martinez', 'Ken Jeong', 'Sam Elliott']",Joseph Trapanese,Walt Disney Studios Motion Pictures,Enrique Chediak,Melissa Bretherton,"['Andrew Bujalski', 'Kari Granlund']"
Noelle,Walt Disney Pictures,United States,English,100,,,12/11/2019,6.3,48,,Marc Lawrence,Suzanne Todd,,"['Anna Kendrick', 'Bill Hader', 'Kingsley Ben-Adir', 'Billy Eichner', 'Julie Hagerty', 'Shirley MacLaine']","['Cody Fitzgerald', 'Clyde Lawrence']","['Disney+', 'Walt Disney Studios Motion Pictures']",Russell Carpenter,Hughes Winborne,
Frozen II,"['Walt Disney Pictures', 'Walt Disney Animation Studios']",United States,English,103,150000000,1450000000,07/11/2019,6.9,64,77%,"['Chris Buck', 'Jennifer Lee']",Peter Del Vecho,,"['Kristen Bell', 'Idina Menzel', 'Josh Gad', 'Jonathan Groff']","['Christophe Beck', 'Robert Lopez', 'Kristen Anderson-Lopez']","['Walt Disney Studios', 'Motion Pictures']","['Tracy Scott Beattie (layout)', 'Mohit Kallianpur (lighting)']",Jeff Draheim,['Jennifer Lee']
Togo,Walt Disney Pictures,United States,English,114,40000000,,20/12/2019,8,69,,Ericson Core,Kim Zubick,,['Willem Dafoe'],Mark Isham,Disney+,Ericson Core,Martin Pensa,
Timmy Failure: Mistakes Were Made,"['Walt Disney Pictures', 'Etalon Film', 'Slow Pony Pictures', 'Whitaker Entertainment']",United States,English,99,42000000,,25/01/2020,6.1,60,,Tom McCarthy,"['Alexander Dostal', 'Tom McCarthy', 'Jim Whitaker']","['Timmy Failure', 'by Stephan Pastis']","['Winslow Fegley', 'Ophelia Lovibond', 'Craig Robinson', 'Wallace Shawn']",Rolfe Kent,Disney+,Masanobu Takayanagi,Tom McArdle,"['Tom McCarthy', 'Benjamin Pestana', 'Stephan Pastis']"
Onward,"['Walt Disney Pictures', 'Pixar Animation Studios']",United States,English,102,175,141900000,21/02/2020,7.4,61,88%,Dan Scanlon,Kori Rae,,"['Tom Holland', 'Chris Pratt', 'Julia Louis-Dreyfus', 'Octavia Spencer']","['Mychael Danna', 'Jeff Danna']","['Walt Disney Studios', 'Motion Pictures']","['Sharon Calahan', 'Adam Habib']",Catherine Apple,"['Dan Scanlon', 'Jason Headley', 'Keith Bunin']"
Stargirl,"['Walt Disney Pictures', 'Gotham Group', 'Hahnscape Entertainment']",United States,English,107,,,13/03/2020,7.3,N/A,,Julia Hart,"['Kristin Hahn', 'Ellen Goldsmith-Vein', 'Lee Stollman', 'Jordan Horowitz']",Stargirl by Jerry Spinelli,"['Grace VanderWaal', 'Graham Verchere']",Rob Simonsen,Disney+,Bryce Fortner,"['Shayar Bansali', 'Tracey Wadmore-Smith']","['Kristin Hahn', 'Julia Hart', 'Jordan Horowitz']"
Dolphin Reef,Disneynature,United States,English,78,,,28/03/2018,7.5,79,,"['Alastair Fothergill', 'Keith Scholey']","['Alastair Fothergill', 'Keith Scholey', 'Roy Conli']",,,Steven Price,"['Walt Disney Studios Motion Pictures', 'Disney+']",Paul Atkins,Martin Elsbury,
Elephant,Disneynature,United States,English,89,,,03/04/2020,7.2,70,73%,"['Mark Linfield', 'Vanessa Berlowitz']","['Mark Linfield', 'Vanessa Berlowitz', 'Roy Conli']",,,Ramin Djawadi,Disney+,"['Martyn Colbeck', 'Mike Holding', 'Tom Walker']",Nigel Buck,
Artemis Fowl,"['Walt Disney Pictures', 'TriBeCa Productions', 'Marzano Films']",United States,English,95,125000000,,12/06/2020,4.2,31,8%,Kenneth Branagh,"['Kenneth Branagh', 'Judy Hofflund']","['Artemis Fowl', 'by', 'Eoin Colfer']","['Ferdia Shaw', 'Lara McDonnell', 'Josh Gad', 'Tamara Smart', 'Nonso Anozie', 'Colin Farrell', 'Judi Dench']",Patrick Doyle,Walt Disney Studios Motion Pictures,Haris Zambarloukos,Matthew Tucker,"['Conor McPherson', 'Hamish McColl']"
Hamilton,"['Walt Disney Pictures', '5000 Broadway Productions', 'Nevis Productions', 'Old 320 Sycamore Pictures', 'RadicalMedia']",United States,English,160,12500000,,03/07/2020,8.6,90,,Thomas Kail,"['Thomas Kail', 'Lin-Manuel Miranda', 'Jeffrey Seller']","['Alexander Hamilton', 'by', 'Ron Chernow']","['Daveed Diggs', 'RenÃ©e Elise Goldsberry', 'Jonathan Groff', 'Christopher Jackson', 'Jasmine Cephas Jones', 'Lin-Manuel Miranda', 'Leslie Odom Jr.', 'Okieriete Onaodowan', 'Anthony Ramos', 'Phillipa Soo']",Lin-Manuel Miranda,Walt Disney Studios Motion Pictures,Declan Quinn,Jonah Moran,
Black Is King,"['Parkwood Entertainment', 'Walt Disney Pictures']",United States,English,85,,,31/07/2020,5.5,84,,"['BeyoncÃ© Knowles-Carter', 'Kwasi Fordjour', 'Emmanuel Adjei', 'Blitz Bazawule', 'Ibra Ake', 'Jenn Nkiru', 'Jake Nava', 'Pierre Debusschere', 'Dikayl Rimmasch']","['Jeremy Sullivan', 'Jimi Adesanya', 'Blitz Bazawule', 'Ben Cooper', 'Astrid Edwards', 'Durwin Julies', 'Yoli Mes', 'Dafe Oboro', 'Akin Omotoso', 'Will Whitney', 'Lauren Baker', 'Jason Baum', 'Alex Chamberlain', 'Robert Day', 'Christophe Faubert', 'Brien Justiniano', 'Rethabile Molatela Mothobi', 'Sylvia Zakhary', 'Nathan Scherrer', 'Erinn Williams']","['The Lion King: The Gift', 'The Lion King']","['BeyoncÃ©', 'Folajomi Akinmurele', 'Connie Chiume', 'Nyaniso Ntsikelelo Dzedze', 'Nandi Madida', 'Warren Masemola', 'Sibusiso Mbeje', 'Fumi Odede', 'Stephen Ojo', 'Mary Twala']","['James William Blades', 'MeLo-X', 'Derek Dixie']",Disney+,"['Ryan Marie Helfant', 'Santiago Gonzalez', 'Muhammad Atta Ahmed', 'David Boanuh', 'Michael Fernandez', 'Erik Henriksson', 'Danny Hiele', 'Laura Merians', 'Nicolai Niermann', 'Kenechukwu Obiajulu', 'Malik Sayeed', 'Benoit Soler']","['Andrew Morrow', 'Maria-Celeste Garrahan', 'Haines Hall', 'Tom Watson']",
Magic Camp,"['Walt Disney Pictures', 'Team Todd']",United States,English,100,24000000,,14/08/2020,6.3,N/A,,Mark Waters,['Suzanne Todd'],,"['Adam DeVine', 'Jeffrey Tambor', 'Gillian Jacobs']",Rolfe Kent,"['Disney+', 'Walt Disney Studios Motion Pictures']",Theo van de Sande,"['Bruce Green', 'Robert Malina']","['Micah Fitzerman-Blue', 'Noah Harpster', 'Matt Spicer', 'Max Winkler', 'Dan Gregor', 'Doug Mand']"
The One and Only Ivan,"['Walt Disney Pictures', 'Jolie Pas Productions']",United States,English,95,,,21/08/2020,6.7,58,,Thea Sharrock,"['Angelina Jolie', 'Allison Shearmur', 'Brigham Taylor']","['The One and Only Ivan', 'by', 'K. A. Applegate']","['Sam Rockwell', 'Angelina Jolie', 'Danny DeVito', 'Helen Mirren', 'RamÃ³n RodrÃ­guez', 'Ariana Greenblatt', 'Bryan Cranston']",Craig Armstrong,Walt Disney Studios Motion Pictures,Florian Ballhaus,Barney Pilling,Mike White
Mulan,"['Walt Disney Pictures', 'Jason T. Reed Productions', 'Good Fear Productions']",United States,English,115,200000000,70000000,09/03/2020,7.6,71,86%,Niki Caro,"['Chris Bender', 'Jake Weiner', 'Jason T. Reed']","[""Disney's Mulan by Tony Bancroft Barry Cook"", 'Tony Bancroft', 'Barry Cook', 'Ballad of Mulan']","['Yifei Liu', 'Donnie Yen', 'Tzi Ma', 'Jason Scott Lee', 'Yoson An', 'Ron Yuan', 'Gong Li', 'Jet Li']",Harry Gregson-Williams,Walt Disney Studios Motion Pictures,Mandy Walker,David Coulson,"['Rick Jaffa Amanda Silver', 'Lauren Hynek', 'Elizabeth Martin']"
Godmothered,"['Walt Disney Pictures', 'Secret Machine Entertainment']",United States,English,113,,,04/12/2020,6.1,49,,Sharon Maguire,Justin Springer,,"['Isla Fisher', 'Jillian Bell']",Rachel Portman,Disney+,Christopher Norr,Gary Dollner,"['Kari Granlund', 'Melissa Stack']"
Safety,"['Walt Disney Pictures', 'Mayhem Pictures', 'Select Films']",United States,English,119,,,11/12/2020,6.9,50,,Reginald Hudlin,"['Mark Ciardi', 'Gordon Gray']",,"['Jay Reeves', 'Thaddeus J. Mixson', 'Corinne Foxx', 'Matthew Glave', 'James Badge Dale']",Marcus Miller,Disney+,Shane Hurlbut,Terel Gibson,
Soul,,United States,English,101,150000000,47300000,11/10/2020,7.8,86,,Pete Docter,Dana Murray,,"['Jamie Foxx', 'Tina Fey', 'Graham Norton', 'Rachel House', 'Alice Braga', 'Richard Ayoade', 'Phylicia Rashad', 'Donnell Rawlings', 'Questlove', 'Angela Bassett']","['Trent Reznor', 'Atticus Ross']",Walt Disney Studios Motion Pictures,"['Matt Aspbury', 'Ian Megibben']",Kevin Nolting,
Flora & Ulysses,"['Walt Disney Pictures', 'Netter Productions']",United States,English,,,,19/02/2021,,,,Lena Khan,Gil Netter,"['Flora & Ulysses', 'by', 'Kate DiCamillo']","['Matilda Lawler', 'Alyson Hannigan', 'Ben Schwartz', 'Benjamin Evan Ainsworth', 'Danny Pudi']",Jake Monaco,Disney+,Andrew Dunn,Jamie Gross,Brad Copeland
Raya and the Last Dragon,"['Walt Disney Pictures', 'Walt Disney Animation Studios']",United States,English,,,,05/03/2021,N/A,N/A,,"['Don Hall', 'Carlos LÃ³pez Estrada']","['Osnat Shurer', 'Peter Del Vecho']",,"['Kelly Marie Tran', 'Awkwafina']",James Newton Howard,"['Walt Disney Studios', 'Motion Pictures']",,,
Cruella,"['Walt Disney Pictures', 'Gunn Films', 'Marc Platt Productions']",United States,English,,,,28/05/2021,N/A,N/A,,Craig Gillespie,"['Kristin Burr', 'Andrew Gunn', 'Marc Platt']","[""Disney's One Hundred and One Dalmatians by Bill Peet"", 'The Hundred and One Dalmatians by Dodie Smith']","['Emma Stone', 'Emma Thompson', 'Joel Fry', 'Paul Walter Hauser', 'Mark Strong']",,Walt Disney Studios Motion Pictures,Nicolas Karakatsanis,Tatiana S. Riegel,"['Aline Brosh McKenna', 'Jez Butterworth', 'Dana Fox', 'Kelly Marcel', 'Tony McNamara', 'Steve Zissis']"
Jungle Cruise,"['Walt Disney Pictures', 'Davis Entertainment', 'Seven Bucks Productions', 'Flynn Picture Company']",United States,English,,,,30/07/2021,N/A,N/A,,Jaume Collet-Serra,"['John Davis', 'John Fox', 'Beau Flynn', 'Dwayne Johnson', 'Dany Garcia', 'Hiram Garcia']","['Jungle Cruise', 'by', 'Walt Disney']","['Dwayne Johnson', 'Emily Blunt', 'Ã‰dgar RamÃ­rez', 'Jack Whitehall', 'Jesse Plemons', 'Paul Giamatti']","['James Newton Howard', 'Metallica']",Walt Disney Studios Motion Pictures,Flavio Labiano,Joel Negron,"['Michael Green', 'Glenn Ficarra', 'John Requa']"
